,our_id,source,RA,Dec
123,200129_123,GLADE,319.9297180000001,-1.129274
124,200129_124,GLADE,319.864075,-0.441781
125,200129_125,GLADE,320.925354,0.905163
126,200129_126,GLADE,319.23642,0.6794600000000001
127,200129_127,GLADE,319.656342,-1.055373
128,200129_128,GLADE,318.502258,0.5352210000000001
129,200129_129,GLADE,319.503632,0.57084
130,200129_130,GLADE,319.389648,-0.134761
131,200129_131,GLADE,318.586334,-0.009581
132,200129_132,GLADE,318.607727,0.011255
133,200129_133,GLADE,319.105865,0.060167999999999985
134,200129_134,GLADE,318.561096,0.158249
135,200129_135,GLADE,318.5164180000001,0.347166
136,200129_136,GLADE,318.433075,0.574661
137,200129_137,GLADE,321.131134,0.586294
138,200129_138,GLADE,320.334259,1.219571
139,200129_139,GLADE,321.037048,0.32142600000000005
140,200129_140,GLADE,321.047577,-0.358713
141,200129_141,GLADE,311.757507,25.433893
142,200129_142,GLADE,314.077057,17.319357
143,200129_143,GLADE,315.315918,16.161499
144,200129_144,GLADE,315.4847410000001,16.111847
145,200129_145,GLADE,317.0297240000001,12.038787
146,200129_146,GLADE,317.903229,11.496943
147,200129_147,GLADE,320.245087,3.67262
148,200129_148,GLADE,317.895264,2.171851
149,200129_149,GLADE,312.807159,22.397501
150,200129_150,GLADE,319.127533,0.305575
151,200129_151,GLADE,319.135864,-0.753713
152,200129_152,GLADE,320.358459,-1.833397
153,200129_153,GLADE,320.203827,-1.608011
154,200129_154,GLADE,319.617188,-0.610651
155,200129_155,GLADE,320.913208,-0.548787
156,200129_156,GLADE,320.205444,0.758071
157,200129_157,GLADE,320.147369,1.08668
158,200129_158,GLADE,318.4185490000001,2.049938
159,200129_159,GLADE,318.600006,2.152416
160,200129_160,GLADE,318.82254,2.157335
161,200129_161,GLADE,318.4707640000001,2.220497
162,200129_162,GLADE,318.752655,2.314552
163,200129_163,GLADE,318.993286,2.354598
164,200129_164,GLADE,318.453796,2.381607
165,200129_165,GLADE,318.827271,2.381779
166,200129_166,GLADE,318.541901,2.399359
167,200129_167,GLADE,318.456573,2.427163
168,200129_168,GLADE,318.974915,2.433764
169,200129_169,GLADE,318.535217,2.451025
170,200129_170,GLADE,318.112946,2.467463
171,200129_171,GLADE,318.867859,2.496224
172,200129_172,GLADE,318.457428,2.535774
173,200129_173,GLADE,318.643921,2.542137
174,200129_174,GLADE,318.396545,2.562603
175,200129_175,GLADE,318.284576,2.562505
176,200129_176,GLADE,318.44519,2.563828
177,200129_177,GLADE,318.192535,2.571671
178,200129_178,GLADE,318.599152,2.57436
179,200129_179,GLADE,318.202271,2.57445
180,200129_180,GLADE,318.524719,2.575498
181,200129_181,GLADE,318.628357,2.594637
182,200129_182,GLADE,318.633087,2.604359
183,200129_183,GLADE,318.4810490000001,2.623275
184,200129_184,GLADE,318.516937,2.623276
185,200129_185,GLADE,318.919006,2.643481
186,200129_186,GLADE,318.549377,2.649081
187,200129_187,GLADE,318.593048,2.664082
188,200129_188,GLADE,318.621979,2.666026
189,200129_189,GLADE,318.8213810000001,2.752613
190,200129_190,GLADE,318.513855,2.771609
191,200129_191,GLADE,318.549377,2.870193
192,200129_192,GLADE,318.2598270000001,2.873894
193,200129_193,GLADE,319.496368,4.2108370000000015
194,200129_194,GLADE,320.102661,4.221121
195,200129_195,GLADE,320.27063,4.4104
196,200129_196,GLADE,319.784058,4.575973
197,200129_197,GLADE,319.545074,4.593901
198,200129_198,GLADE,319.103088,4.810018
199,200129_199,GLADE,319.339294,4.957284
200,200129_200,GLADE,319.27182,5.460897
201,200129_201,GLADE,317.794067,5.7705410000000015
202,200129_202,GLADE,319.03649900000005,6.448226
203,200129_203,GLADE,316.831238,7.483594
204,200129_204,GLADE,317.773651,7.880591000000001
205,200129_205,GLADE,316.289429,8.756506
206,200129_206,GLADE,316.490906,9.155234
207,200129_207,GLADE,316.443329,9.269118
208,200129_208,GLADE,316.017151,9.917637
209,200129_209,GLADE,315.601349,10.174725
210,200129_210,GLADE,315.429413,10.297942
211,200129_211,GLADE,315.503052,10.376966
212,200129_212,GLADE,317.82287599999995,10.482483
213,200129_213,GLADE,315.906067,10.500301
214,200129_214,GLADE,315.474792,10.515295
215,200129_215,GLADE,315.745148,10.550166
216,200129_216,GLADE,317.006165,10.554502
217,200129_217,GLADE,315.353729,10.583776
218,200129_218,GLADE,316.0381470000001,10.718191
219,200129_219,GLADE,315.857147,11.00419
220,200129_220,GLADE,315.28006,16.140942000000006
221,200129_221,GLADE,316.463898,9.210233
222,200129_222,GLADE,319.451141,6.249636
223,200129_223,GLADE,319.914459,5.688716
224,200129_224,GLADE,313.985077,16.718901000000002
