objName,objNameHMS,objAltName1,objAltName2,objAltName3,objPopularName,objID,uniquePspsOBid,ippObjID,surveyID,htmID,zoneID,tessID,projectionID,skyCellID,randomID,batchID,dvoRegionID,processingVersion,objInfoFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,raMean,decMean,raMeanErr,decMeanErr,epochMean,posMeanChisq,cx,cy,cz,lambda,beta,l,b,nStackObjectRows,nStackDetections,nDetections,ng,nr,ni,nz,ny,Column1,Column2,gQfPerfect,gMeanPSFMag,gMeanPSFMagErr,gMeanPSFMagStd,gMeanPSFMagNpt,gMeanPSFMagMin,gMeanPSFMagMax,gMeanKronMag,gMeanKronMagErr,gMeanKronMagStd,gMeanKronMagNpt,gMeanApMag,gMeanApMagErr,gMeanApMagStd,gMeanApMagNpt,gFlags,rQfPerfect,rMeanPSFMag,rMeanPSFMagErr,rMeanPSFMagStd,rMeanPSFMagNpt,rMeanPSFMagMin,rMeanPSFMagMax,rMeanKronMag,rMeanKronMagErr,rMeanKronMagStd,rMeanKronMagNpt,rMeanApMag,rMeanApMagErr,rMeanApMagStd,rMeanApMagNpt,rFlags,iQfPerfect,iMeanPSFMag,iMeanPSFMagErr,iMeanPSFMagStd,iMeanPSFMagNpt,iMeanPSFMagMin,iMeanPSFMagMax,iMeanKronMag,iMeanKronMagErr,iMeanKronMagStd,iMeanKronMagNpt,iMeanApMag,iMeanApMagErr,iMeanApMagStd,iMeanApMagNpt,iFlags,zQfPerfect,zMeanPSFMag,zMeanPSFMagErr,zMeanPSFMagStd,zMeanPSFMagNpt,zMeanPSFMagMin,zMeanPSFMagMax,zMeanKronMag,zMeanKronMagErr,zMeanKronMagStd,zMeanKronMagNpt,zMeanApMag,zMeanApMagErr,zMeanApMagStd,zMeanApMagNpt,zFlags,yQfPerfect,yMeanPSFMag,yMeanPSFMagErr,yMeanPSFMagStd,yMeanPSFMagNpt,yMeanPSFMagMin,yMeanPSFMagMax,yMeanKronMag,yMeanKronMagErr,yMeanKronMagStd,yMeanKronMagNpt,yMeanApMag,yMeanApMagErr,yMeanApMagStd,yMeanApMagNpt,yFlags
PSO J318.4352+03.2540,PSX J211344.44+031514.5,-999,-999,-999,-999,111903184351655286,3590114000022154,79147657352841,0,13334067060661,11190,1,1402,88,0.503156435213197,3590114,18428,3,444915712,53,318.43517648,3.25405527,0.00100000004749745,0.00100000004749745,318.43517513,3.25403659,0.0179500002413988,0.0195099990814924,56265.85141204,2.54830002784729,0.746999197067747,-0.662397272879588,0.0567631258989946,321.926782241987,18.3949651245257,54.1566926598799,-29.4101171782785,-999,5,61,3,14,31,8,5,111903184351655286,3590114000022154,0.97552102804184,22.1145000457764,0.0396389998495579,0.0578910000622272,2,22.0851001739502,22.164400100708,21.3036994934082,0.205809995532036,0.320899993181229,2,21.3934001922607,0.0728219971060753,0.10648500174284,2,16892216,0.999378025531769,21.0144996643066,0.0677710026502609,0.198669001460075,10,20.7159004211426,21.4279003143311,20.326099395752,0.0677860006690025,0.226009994745255,10,20.4118003845215,0.059128999710083,0.185837998986244,10,16892216,0.99991101026535,20.4269008636475,0.0364799983799458,0.186199992895126,23,20.0851001739502,20.7460994720459,19.8374996185303,0.0295790005475283,0.207793995738029,28,19.9267997741699,0.0287120006978512,0.148562997579575,28,16892216,0.99933797121048,20.1781997680664,0.0472170002758503,0.122340001165867,7,19.9906005859375,20.2567005157471,19.6082992553711,0.0434009991586208,0.152419000864029,7,19.638500213623,0.0535839982330799,0.136878997087479,7,16892216,0.998192012310028,19.531400680542,0.0739680007100105,0.180510997772217,5,19.3416004180908,19.7318992614746,18.9764003753662,0.166173994541168,0.434558004140854,5,18.925199508667,0.184256002306938,0.399286985397339,5,16892216
PSO J318.4152+03.2610,PSX J211339.64+031539.4,-999,-999,-999,-999,111913184150003778,3590114000019553,79147657350240,0,13334067205892,11191,1,1402,88,0.549469315958646,3590114,18428,3,436527104,52,318.41513634,3.26095739,0.00100000004749745,0.00100000004749745,318.41516785,3.26095926,0.0698200017213821,0.0548899993300438,56151.13025463,3.93519997596741,0.746762711808629,-0.662653522420285,0.0568837540622201,321.909080884154,18.4078028735926,54.1505407971613,-29.3896673159467,-999,5,30,3,7,15,4,1,111913184150003778,3590114000019553,0.999557018280029,22.0732002258301,0.0787729993462563,0.101239003241062,3,21.9867992401123,22.1546993255615,21.4519996643066,0.109893999993801,0.118225000798702,3,21.5142002105713,0.114426001906395,0.144912004470825,3,16892216,0.999746978282928,21.6665992736816,0.0578740015625954,0.214343994855881,6,21.5713996887207,22.050500869751,21.4843006134033,0.142636999487877,0.250034987926483,7,21.6588001251221,0.140061005949974,0.289617985486984,7,115000,0.999372005462646,21.3292999267578,0.0682670027017593,0.283059000968933,12,20.7966995239258,21.744800567627,21.0018997192383,0.0972250029444695,0.265067011117935,11,20.9454002380371,0.0705640017986298,0.287142992019653,12,115000,0.998780012130737,20.8766002655029,0.0614399984478951,0.165544003248215,4,20.6571006774902,21.0380001068115,20.1664009094238,0.0617160014808178,0.962373018264771,4,20.1578998565674,0.00701500009745359,0.0399399995803833,4,16892216,0.999459028244019,19.6448001861572,0.181773006916046,-999,1,19.6448001861572,19.6448001861572,19.2660999298096,0.268182992935181,-999,1,19.2654991149902,0.181773006916046,-999,1,115000
PSO J318.4394+03.2859,PSX J211345.45+031709.2,-999,-999,-999,-999,111943184394103537,3590126000026516,79164837226387,0,13334067139284,11194,1,1402,88,0.291831258024863,3590126,18432,3,444915712,53,318.4394274,3.28591187,0.00100000004749745,0.00100000004749745,318.4394159,3.28590295,0.0314499996602535,0.0258099995553494,56108.31228009,3.42569994926453,0.747024484596299,-0.66232093520251,0.0573183932617257,321.941554287588,18.4238950440558,54.1897888444555,-29.3959027958749,-999,5,55,16,10,19,9,1,111943184394103537,3590126000026516,0.999724984169006,21.5753002166748,0.0865489989519119,0.2829450070858,12,21.12380027771,22.0048007965088,20.8987007141113,0.0652759969234467,0.235103994607925,12,20.8589000701904,0.0589749999344349,0.195862993597984,12,16892216,0.999696016311646,20.9517993927002,0.0520410016179085,0.117380000650883,9,20.7520008087158,21.0956001281738,20.18869972229,0.0502669997513294,0.184411004185677,9,20.2535991668701,0.0423920005559921,0.122167997062206,9,16892216,0.999544978141785,20.6249008178711,0.0706499963998795,0.225233003497124,17,20.3227005004883,21.0352001190186,20.100700378418,0.040242001414299,0.196446001529694,18,20.0965003967285,0.0578310005366802,0.226921007037163,18,16892216,0.999764978885651,20.5793991088867,0.0813120007514954,0.249981999397278,7,20.3591003417969,21.0123996734619,19.8206005096436,0.0940579995512962,0.253262013196945,7,19.8754005432129,0.0902310013771057,0.216819003224373,7,16892216,0.997830986976624,20.284200668335,0.165969997644424,-999,1,20.284200668335,20.284200668335,19.5139999389648,0.155625000596046,-999,1,19.6790008544922,0.165969997644424,-999,1,16892216
PSO J318.4231+03.2997,PSX J211341.53+031759.0,-999,-999,-999,-999,111953184230149994,3590126000023831,79164837223702,0,13334067569880,11196,1,1402,88,0.143400151416101,3590126,18432,3,436527104,52,318.42304258,3.29979968,0.00100000004749745,0.00100000004749745,318.4230619,3.29973638,0.0606000013649464,0.123099997639656,56211.62731481,13.3632001876831,0.746825032984779,-0.662524929128355,0.057559433551347,321.929787174129,18.4421519182991,54.1925495384314,-29.3746390176159,-999,5,76,16,14,33,10,3,111953184230149994,3590126000023831,0.999710977077484,21.7212009429932,0.0405209995806217,0.192386999726295,14,21.3430995941162,22.1728992462158,21.5627994537354,0.0712060034275055,0.288448005914688,15,21.5023002624512,0.0468919984996319,0.210982993245125,15,115000,0.999517977237701,20.8400001525879,0.0449750013649464,0.162019997835159,13,20.6641006469727,21.247200012207,20.7252998352051,0.0547499991953373,0.202142998576164,13,20.664400100708,0.053481999784708,0.192352995276451,13,115000,0.999532997608185,20.4671001434326,0.0223120003938675,0.122510001063347,31,20.2782001495361,20.724100112915,20.2737007141113,0.0253289993852377,0.130878999829292,31,20.2073993682861,0.0176160000264645,0.152524992823601,31,16892216,0.999529004096985,20.0468006134033,0.0205470006912947,0.0878909975290298,9,19.9871997833252,20.1975002288818,19.8742008209229,0.0967999994754791,0.308140993118286,9,19.8153991699219,0.0644360035657883,0.257212996482849,9,115000,0.999267995357513,19.600700378418,0.0585759989917278,0.0831319987773895,2,19.5470008850098,19.6641998291016,19.7859001159668,0.0491060018539429,0.0694909989833832,2,19.4050998687744,0.0152869997546077,0.0216940008103848,2,115000
PSO J318.6091+03.3026,PSX J211426.18+031809.2,-999,-999,-999,-999,111963186090283530,3590126000050140,79164837250012,0,13334545573128,11196,1,1402,88,0.243125141824712,3590126,18432,3,436527104,52,318.60908483,3.3025927,0.00100000004749745,0.00100000004749745,318.60910967,3.3025824,0.0415799990296364,0.0571900010108948,55926.41532407,1.49539995193481,0.748970261356894,-0.660094499302137,0.0576090235470691,322.116586167027,18.3865183399695,54.3140929091518,-29.5273007623829,-999,4,24,6,6,12,0,0,111963186090283530,3590126000050140,0.999338984489441,22.0919990539551,0.112221002578735,0.242945998907089,6,21.7346000671387,22.3188991546631,21.8533992767334,0.117839001119137,0.28770899772644,6,21.67799949646,0.169398993253708,0.449696987867355,6,115000,0.999706983566284,21.6383991241455,0.0794339999556541,0.193569004535675,6,21.3831005096436,21.8903999328613,21.1240005493164,0.0990820005536079,0.359542995691299,6,21.2042007446289,0.112733997404575,0.253886014223099,6,16892216,0.999614000320435,21.6382007598877,0.0564329996705055,0.173923999071121,12,21.3997993469238,21.9009990692139,21.4136009216309,0.0693800002336502,0.325549989938736,12,21.4379997253418,0.0779239982366562,0.255290001630783,12,115000,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,0,114720,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,0,16416
PSO J318.7451+03.3023,PSX J211458.82+031808.3,-999,-999,-999,-999,111963187451343224,3590126000068485,79164837268357,0,13334538488998,11196,1,1402,88,0.116506110985303,3590126,18432,3,444915712,53,318.74506974,3.30236759,0.00100000004749745,0.00100000004749745,318.7451214,3.30230886,0.0275299996137619,0.025620000436902,56047.04681713,2.11209988594055,0.750535323339198,-0.658314877517479,0.0576042573016235,322.252295918995,18.3435184668878,54.4009539097375,-29.6401368485398,-999,5,47,10,11,21,5,0,111963187451343224,3590126000068485,0.999197006225586,22.0722007751465,0.0711850002408028,0.135765001177788,7,21.8806991577148,22.244800567627,21.4361991882324,0.115258000791073,0.52190899848938,7,21.445499420166,0.0373019985854626,0.107332997024059,7,16892216,0.99965500831604,21.2726001739502,0.0532330013811588,0.146594002842903,11,21.0170001983643,21.4708995819092,20.8372001647949,0.0470569990575314,0.166574001312256,11,20.8453998565674,0.0458999983966351,0.164299994707108,11,16892216,0.999575018882751,20.8973007202148,0.0406650006771088,0.22477599978447,18,20.6068992614746,21.5196990966797,20.3992004394531,0.0497439987957478,0.824827015399933,18,20.4016990661621,0.0329100005328655,0.19242300093174,17,16892216,0.998553991317749,20.565299987793,0.111367002129555,0.21934500336647,4,20.2084999084473,20.67799949646,20.1417999267578,0.0650520026683807,0.189233005046844,5,20.1506004333496,0.0719060003757477,0.182967007160187,5,16892216,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,0,114720
PSO J318.5755+03.2583,PSX J211418.12+031529.7,-999,-999,-999,-999,111913185754720527,3590114000040380,79147657371067,0,13334544979061,11191,1,1402,88,0.998198325744083,3590114,18428,3,436527104,52,318.57551445,3.25829938,0.00100000004749745,0.00100000004749745,318.57552796,3.25826307,0.060309998691082,0.0448400005698204,56491.30356481,2.0171000957489,0.748616433445774,-0.660562651708714,0.0568367728014329,322.068369583804,18.3549854050602,54.2503286394794,-29.5241664031971,-999,4,22,3,2,15,2,0,111913185754720527,3590114000040380,0.998781979084015,22.5284004211426,0.111550003290176,0.159200996160507,2,22.431999206543,22.6550998687744,21.694299697876,0.100516997277737,0.143631994724274,2,21.7264995574951,0.0245149992406368,0.0349589996039867,2,16892216,0.99447900056839,21.324499130249,0.109599001705647,0.157466992735863,2,21.2346000671387,21.453800201416,20.6084995269775,0.101977996528149,0.145155996084213,2,20.6000995635986,0.0728039965033531,0.104349002242088,2,16892216,0.999665021896362,21.2285003662109,0.07396300137043,0.211655005812645,15,20.8708000183105,21.5704002380371,20.994499206543,0.126853004097939,0.319442987442017,13,20.9771995544434,0.0903669968247414,0.333718001842499,14,115000,0.998664975166321,20.6895999908447,0.102711997926235,0.145342007279396,2,20.5904006958008,20.7957992553711,20.4139003753662,0.111573003232479,0.15786699950695,2,20.4395999908447,0.27836999297142,0.394163012504578,2,115000,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,0,16416
PSO J318.5920+03.2725,PSX J211422.07+031621.0,-999,-999,-999,-999,111923185921487346,3590114000042199,79147657372886,0,13334545858478,11192,1,1402,88,0.0650066948169905,3590114,18428,3,310697984,37,-999,-999,-999,-999,318.59199215,3.27251085,0.0912500023841858,0.0797199979424477,55947.37074074,2.83340001106262,0.748795594425805,-0.660338137628839,0.0570850397335597,322.089529137343,18.3633448645804,54.2744517509628,-29.5298765440554,-999,0,20,6,6,4,4,0,111923185921487346,3590114000042199,0.999706983566284,22.0153999328613,0.0807880014181137,0.155754998326302,6,21.86549949646,22.2945995330811,21.3780994415283,0.0716430023312569,0.207691997289658,6,21.4431991577148,0.0869769975543022,0.160210996866226,6,16777496,0.999477028846741,21.0624008178711,0.101582996547222,0.320190995931625,6,20.8917007446289,21.5359992980957,20.5044002532959,0.046170998364687,0.184891000390053,6,20.5006999969482,0.0401699990034103,0.137663006782532,6,16777496,0.999002993106842,21.156099319458,0.19098499417305,0.399893999099731,4,20.632999420166,21.4549007415771,20.2338008880615,0.236454993486404,0.438623994588852,4,20.2947006225586,0.146383002400398,0.249356001615524,4,16777496,0.999548017978668,20.7851009368896,0.0596209987998009,0.130666002631187,4,20.6571998596191,20.8999004364014,20.3780002593994,0.0467780008912086,0.151952996850014,4,20.3759002685547,0.195167005062103,0.379233986139297,4,280,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,0,0
PSO J318.5503+03.2778,PSX J211412.08+031640.1,-999,-999,-999,-999,111933185503363944,3590114000037568,79147657368255,0,13334540946121,11193,1,1402,88,0.306212002696667,3590114,18428,3,444915712,53,318.55030366,3.27788278,0.00100000004749745,0.00100000004749745,318.55033814,3.27782877,0.0511000007390976,0.108199998736382,56023.73292824,2.73979997634888,0.748311356469007,-0.660878827032047,0.0571777033489472,322.049690656188,18.3814623012224,54.252899215036,-29.4923815517835,-999,4,23,5,6,12,0,0,111933185503363944,3590114000037568,0.99974799156189,21.8988990783691,0.103155001997948,0.227810993790627,5,21.729700088501,22.3155002593994,21.3064994812012,0.209049999713898,0.441101998090744,5,21.432300567627,0.145175993442535,0.283668011426926,5,16892216,0.99966698884964,21.605899810791,0.0795999988913536,0.18452499806881,5,21.3612003326416,21.80419921875,21.2007999420166,0.177680000662804,0.341012001037598,5,21.1903991699219,0.0715039968490601,0.245740994811058,5,16892216,0.999670028686523,21.2423000335693,0.139748007059097,0.413994997739792,10,20.7784996032715,22.0109996795654,20.850700378418,0.132180005311966,0.3749960064888,10,20.8808002471924,0.110500998795033,0.304488986730576,10,16892216,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,0,114720,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,0,16416
PSO J318.5922+03.2758,PSX J211422.12+031632.7,-999,-999,-999,-999,111933185921641397,3590114000042201,79147657372888,0,13334545848371,11193,1,1402,88,0.979346234332161,3590114,18428,3,512024576,61,318.59215234,3.27579161,0.00100000004749745,0.00100000004749745,318.59217582,3.27576283,0.0350500009953976,0.0157800000160933,56850.38824074,8.17010021209717,0.74879527994491,-0.660333593193254,0.0571417048460241,322.090789674207,18.3663743490807,54.2776724098362,-29.5282164138375,-999,5,80,14,12,28,12,14,111933185921641397,3590114000042201,0.999684989452362,19.101900100708,0.00569699984043837,0.0234280005097389,10,19.0708999633789,19.1354007720947,18.8992004394531,0.0131170004606247,0.0426050014793873,13,18.8428993225098,0.0126919997856021,0.033560998737812,13,16892216,0.999722003936768,17.8805999755859,0.0045230002142489,0.0122469998896122,7,17.8624992370605,17.8941993713379,17.7068996429443,0.00713500007987022,0.0204550009220839,8,17.6681003570557,0.00672399997711182,0.0198609996587038,8,16892216,0.999897003173828,17.0666007995605,0.004250000230968,0.0164490006864071,14,17.0249996185303,17.0865993499756,16.9356994628906,0.00668299989774823,0.0239790007472038,23,16.9185009002686,0.00410499982535839,0.0198970008641481,23,16892216,0.999255001544952,16.6730003356934,0.00585199985653162,0.040327001363039,10,16.6543006896973,16.7852993011475,16.5464000701904,0.00506399990990758,0.0497310012578964,12,16.5436000823975,0.008627999573946,0.0306289996951818,12,16892216,0.999243021011353,16.4332008361816,0.00679000001400709,0.0231469999998808,11,16.3759994506836,16.4559993743896,16.3640003204346,0.0182780008763075,0.0461400002241135,14,16.2872009277344,0.0149259995669127,0.0380359999835491,14,16892216
